"Recipe","Goal","Stack (all in this sheet)","How it fits together","Rough cost"
"Spec-driven Claude Code setup","Ship features from a spec with minimal babysitting","Claude Code · grill-me (Matt Pocock skills) · GitHub Spec Kit / OpenSpec · Superpowers (obra) · Context7 · Serena · Playwright MCP · GitHub MCP Server · ccusage · gitleaks","grill-me interrogates the idea → the answers become the spec → Spec Kit/OpenSpec turns it into plan + tasks → Superpowers executes with TDD → Playwright verifies the UI → GitHub MCP opens the PR. Hooks run lint, tests and secret scanning on every stop.","Claude subscription only — everything else is free"
"Windows AI dev machine from zero","A fresh Windows laptop that behaves like a Linux workstation","WSL2 · Windows Terminal · PowerToys · Flow Launcher · Scoop · winget · uv · Bun · pnpm · GitHub CLI · lazygit · Docker · VS Code · Everything (voidtools) · ShareX","Install WSL2 first and keep code in ~/code. winget for apps, Scoop for CLI tools; export both lists so the next machine takes 20 minutes. Docker Desktop on the WSL2 backend.","$0"
"Private AI for a client (on-prem)","ChatGPT-style assistant + automations where no data leaves the building","Ollama (or vLLM at scale) · Open WebUI · LiteLLM · Qdrant · Docling · n8n · Langfuse · Coolify · Tailscale","LiteLLM sits in front of every model and issues per-department keys with budgets. Open WebUI is the staff-facing chat with document RAG. n8n automates the workflows. Langfuse logs everything for audit. Deployed and updated through Coolify, reached over Tailscale.","Hardware/VPS + your time; all software free"
"$0 solo SaaS stack","Launch an MVP with no fixed monthly costs","Next.js or Hono · Cloudflare Developer Platform (Workers, D1, R2) · Drizzle ORM · Better Auth · Resend · PostHog · Sentry · Umami · GitHub Actions","Everything runs on free tiers until there is real traffic. Owned auth and SQL mean no migration pain later.","$0 until traction (domain aside)"
"Own-your-cloud VPS","One server running all side projects and client apps","Hetzner Cloud · Coolify or Dokploy · Caddy / Traefik · Uptime Kuma · Beszel · restic → R2 · CrowdSec · Tailscale","Git-push deploys with automatic SSL. Monitoring alerts go to Telegram. Encrypted nightly backups to object storage. SSH only over Tailscale, password login disabled.","Roughly the price of one SaaS subscription per month"
"RAG over messy documents","Accurate answers with citations from PDFs, scans and tables","Docling / MinerU · sentence-transformers (embeddings + reranker) · Qdrant or pgvector · LlamaIndex · Ragas · Langfuse","Parse to structured Markdown → chunk by headings → embed → hybrid search → rerank top 20 to top 5 → answer with citations. Build a 50-question test set from the client's documents and track faithfulness with Ragas.","Free (self-hosted) + model usage"
"Web data → structured dataset","Keep a listings-style database fresh","Crawl4AI · Scrapling · Scrapy · Firecrawl (hard targets) · Instructor · DuckDB · Polars · n8n (scheduling)","Deterministic selectors first, LLM extraction only where layouts vary. Land raw HTML, parse into Parquet, analyse with DuckDB. n8n schedules runs and alerts on anomalies. Respect robots.txt and site terms.","Free + proxies if needed"
"Code-generated carousels & reels","A content series rendered from text files","Playwright screenshots (HTML → PNG) or Satori · sharp · Remotion · FFmpeg · auto-editor · WhisperX · Fontshare / Uncut · Cap","Slides are HTML/CSS templates filled from Markdown; Playwright renders 1080×1350 PNGs. Remotion animates the same components for Reels. auto-editor removes silences from talking-head clips; WhisperX produces word-timed captions.","$0"
"Fine-tune and serve a private model","A domain model that beats prompting on your eval","synthetic-data-kit (Meta) / distilabel · Unsloth → Axolotl · Weights & Biases · lm-evaluation-harness · RunPod / Modal · vLLM or Ollama (GGUF)","Turn documents into instruction data, LoRA-tune on a rented GPU, compare against the base model and a prompted frontier model, then export to GGUF for Ollama or serve with vLLM.","A few dollars of GPU per experiment"
"Voice agent / wearable audio pipeline","Natural spoken interaction, local where possible","Silero VAD · faster-whisper or whisper.cpp · LLM via LiteLLM · Kokoro TTS / Piper · LiveKit Agents or Pipecat","VAD decides when speech starts and ends, streaming STT transcribes, the LLM answers with tool calls, TTS speaks. LiveKit/Pipecat handle transport and interruptions. On constrained hardware keep VAD + wake word on-device and stream the rest.","Free locally; per-minute if using cloud STT/TTS"
"AI-grade frontend (the taste stack)","UI that does not look AI-generated","Refero Styles · Mobbin · UI/UX Pro Max · shadcn/ui + shadcn MCP · tweakcn · Motion · GSAP · Fontshare · Realtime Colors · Vercel Web Interface Guidelines · Playwright MCP","References first, then a customised theme, then real components via MCP. One or two motion details, not ten. Finish with a guideline-based review and a Playwright visual check at mobile and desktop widths.","Mostly free; reference libraries are freemium"
"An agent product you can sell","A reliable, observable agent for a client","Claude Agent SDK or Pydantic AI · FastMCP (client tools as MCP) · Instructor · E2B (code sandbox) · Langfuse · promptfoo · OWASP Top 10 for LLM Applications","Wrap the client's systems as a small set of high-level MCP tools. Keep the agent loop simple (see 'Building Effective Agents'). Trace every run, regression-test prompts in CI and document mitigations against the OWASP LLM risks in the proposal.","Model usage + hosting"
