"#","Name","Category","Sub-category","Type","Link","GitHub repo","GitHub ★","Maintenance","Pricing tier","Price / license","What it is","Why it 10x's you","Best for","Works with","Platform","Install / get started","Setup effort","Status","Pro tip / gotcha","Instagram hook","My notes"
"1","Claude Code","01 · Claude Code Ecosystem","Core agent","CLI coding agent","https://github.com/anthropics/claude-code","anthropics/claude-code","145,893","🟢 Active · last commit today","PAID","Claude Pro / Max subscription or API pay-as-you-go","Anthropic's terminal-native coding agent: reads the repo, edits files, runs commands, uses MCP, skills, hooks and subagents.","The hub of a spec-driven workflow: hand it a spec + plan and it executes end-to-end instead of chatting line by line.","Solo founders, spec-driven builders","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npm install -g @anthropic-ai/claude-code","Low","✅ In my stack","Keep CLAUDE.md short and specific; long rule files get ignored. Use /clear between tasks.","The terminal is the new IDE.",""
"2","Anthropic Skills (official)","01 · Claude Code Ecosystem","Skills","Skill collection","https://github.com/anthropics/skills","anthropics/skills","176,857","🟢 Active · last commit september 2026","FREE (open source)","Open source (see repo license; document skills are source-available)","Anthropic's official Agent Skills repo: skill-creator, mcp-builder, frontend-design, webapp-testing, docx/pdf/pptx/xlsx and more.","The reference standard for how a skill is structured. skill-creator alone lets you turn any repeated workflow into a reusable skill.","Anyone using Claude Code daily","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/plugin marketplace add anthropics/skills","Low","🚀 Add now","Read SKILL.md files as templates before writing your own; progressive disclosure is the whole trick.","Official Claude skills. Free. Most devs never install them.",""
"3","grill-me (Matt Pocock skills)","01 · Claude Code Ecosystem","Planning skills","Skill","https://github.com/mattpocock/skills","mattpocock/skills","264,284","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","A skill that interrogates you about your plan one question at a time until every branch of the decision tree is resolved.","Kills the #1 failure of AI coding: building before the thinking is done. Perfect pre-step before writing a spec.","Spec-driven devs, founders scoping features","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx -y skills add mattpocock/skills --skill grill-me","Low","🚀 Add now","Run it BEFORE the spec, then paste the Q&A into the spec as the 'decisions' section.","The skill that argues with your plan before you build it.",""
"4","UI/UX Pro Max","01 · Claude Code Ecosystem","Design skills","Skill","https://github.com/nextlevelbuilder/ui-ux-pro-max-skill","nextlevelbuilder/ui-ux-pro-max-skill","128,458","🟢 Active · last commit last tuesday","FREE (open source)","Open source (MIT)","Design-intelligence skill: a searchable database of UI styles, colour palettes, font pairings, chart types and UX guidelines across many stacks.","Gives the agent a design system to reason from, so output stops looking like default purple-gradient AI UI.","Devs without a designer","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/plugin marketplace add nextlevelbuilder/ui-ux-pro-max-skill","Low","🚀 Add now","Pair with real references (Refero / Mobbin) — the skill picks a direction, references give it taste.","Give Claude taste. One install.",""
"5","Superpowers (obra)","01 · Claude Code Ecosystem","Workflow skills","Skill framework","https://github.com/obra/superpowers","obra/superpowers","288,032","🟢 Active · last commit august 2026","FREE (open source)","Open source (MIT)","A skills library enforcing a disciplined loop: brainstorm → write plan → execute plan with TDD, debugging and review skills.","Turns Claude Code from a fast typist into a process-following engineer. Huge for multi-hour autonomous runs.","Spec-driven devs, long autonomous sessions","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/plugin marketplace add obra/superpowers-marketplace  →  /plugin install superpowers@superpowers-marketplace","Medium","🚀 Add now","It is opinionated about TDD. Let it be — that is where the quality comes from.","I gave Claude Code a process. It stopped guessing.",""
"6","awesome-claude-code","01 · Claude Code Ecosystem","Directories","Awesome list","https://github.com/hesreallyhim/awesome-claude-code","hesreallyhim/awesome-claude-code","54,216","🟢 Active · last commit today","FREE (open source)","Open source","The main curated index of Claude Code commands, hooks, skills, workflows, CLAUDE.md files and tooling.","One bookmark replaces hours of searching. Check it before building anything yourself.","Every Claude Code user","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Browse","Low","🚀 Add now","Sort by what you repeat weekly, not by what looks cool.","The Claude Code bookmark you actually need.",""
"7","awesome-claude-skills (travisvn)","01 · Claude Code Ecosystem","Directories","Awesome list","https://github.com/travisvn/awesome-claude-skills","travisvn/awesome-claude-skills","15,096","🟡 Slower · last commit april 2026","FREE (open source)","Open source","Curated list of Claude Skills, resources and tools for customising Claude workflows.","Fastest way to find an existing skill before writing one.","Skill hunters","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Browse","Low","🔍 Explore","Audit any community skill before installing — skills can run scripts.","Someone already built the skill you need.",""
"8","awesome-claude-skills (Composio)","01 · Claude Code Ecosystem","Directories","Awesome list","https://github.com/ComposioHQ/awesome-claude-skills","ComposioHQ/awesome-claude-skills","75,277","🟢 Active · last commit july 2026","FREE (open source)","Open source","Large community list of practical Claude skills grouped by use case.","Broader coverage of business/automation skills than dev-only lists.","Automation builders","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Browse","Low","🔍 Explore","Good source of skill ideas for client automations.","Skills for everything, not just code.",""
"9","awesome-claude-code-subagents","01 · Claude Code Ecosystem","Subagents","Subagent collection","https://github.com/VoltAgent/awesome-claude-code-subagents","VoltAgent/awesome-claude-code-subagents","25,151","🟢 Active · last commit last monday","FREE (open source)","Open source (MIT)","100+ ready-made specialised subagents (backend, security, data, DevOps, QA...) as drop-in markdown files.","Copy a specialist into .claude/agents/ and delegate — keeps the main context clean.","Multi-role solo devs","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Copy .md files into .claude/agents/","Low","🚀 Add now","Use 3–5 subagents you trust. Thirty subagents = none of them get picked well.","Hire 100 specialists. Pay nothing.",""
"10","wshobson/agents","01 · Claude Code Ecosystem","Subagents","Subagent + plugin collection","https://github.com/wshobson/agents","wshobson/agents","39,758","🟢 Active · last commit last sunday","FREE (open source)","Open source (MIT)","Production-oriented subagents, plugins and multi-agent workflows for Claude Code.","Well-structured orchestration examples you can study and adapt.","Teams of one running many roles","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/plugin marketplace add wshobson/agents","Medium","🔍 Explore","Install per plugin, not everything — each one costs context.","A full engineering org in a folder.",""
