"#","Name","Category","Sub-category","Type","Link","GitHub repo","GitHub ★","Maintenance","Pricing tier","Price / license","What it is","Why it 10x's you","Best for","Works with","Platform","Install / get started","Setup effort","Status","Pro tip / gotcha","Instagram hook","My notes"
"1","Claude Code","01 · Claude Code Ecosystem","Core agent","CLI coding agent","https://github.com/anthropics/claude-code","anthropics/claude-code","145,893","🟢 Active · last commit today","PAID","Claude Pro / Max subscription or API pay-as-you-go","Anthropic's terminal-native coding agent: reads the repo, edits files, runs commands, uses MCP, skills, hooks and subagents.","The hub of a spec-driven workflow: hand it a spec + plan and it executes end-to-end instead of chatting line by line.","Solo founders, spec-driven builders","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npm install -g @anthropic-ai/claude-code","Low","✅ In my stack","Keep CLAUDE.md short and specific; long rule files get ignored. Use /clear between tasks.","The terminal is the new IDE.",""
"2","n8n-MCP","06 · MCP Servers & Connectors","Automation","MCP server","https://github.com/czlonkowski/n8n-mcp","czlonkowski/n8n-mcp","22,908","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT)","Gives agents full knowledge of n8n nodes, properties and templates, plus workflow validation and management.","Claude designs, validates and deploys n8n workflows instead of you dragging nodes.","n8n builders","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","npx n8n-mcp","Low","✅ In my stack","Always validate before deploy, and never let it edit production workflows directly.","I let Claude build my n8n workflows.",""
"3","n8n MCP (instance-level server)","06 · MCP Servers & Connectors","Automation","Connector","https://docs.n8n.io","","","—","FREEMIUM","Included with n8n (cloud or self-hosted)","n8n can expose workflows as MCP tools (MCP Server Trigger) and call MCP servers from AI Agent nodes.","Any workflow becomes a tool your agents can call.","n8n users","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","Enable MCP access / add MCP Server Trigger node","Medium","✅ In my stack","Expose narrow, well-described workflows; agents pick tools by description.","Turn any n8n workflow into an AI tool.",""
"4","Vercel MCP","06 · MCP Servers & Connectors","Deploy","Connector","https://vercel.com/docs/mcp","","","—","FREE (closed source)","Free with Vercel account","Official remote MCP: projects, deployments, build and runtime logs, docs search.","The agent reads the failed build log and fixes it without copy-paste.","Vercel users","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","claude mcp add --transport http vercel https://mcp.vercel.com","Low","✅ In my stack","Ask it to fetch runtime logs when debugging prod.","Deploy failed? Claude already read the logs.",""
"5","Figma MCP (Dev Mode)","06 · MCP Servers & Connectors","Design","Connector","https://developers.figma.com","","","—","FREEMIUM","Requires a Figma plan with Dev Mode access (verify)","Official Figma server exposing selected frames, variables, components and Code Connect mappings.","Design-to-code with real tokens instead of screenshot guessing.","Design-to-code workflows","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","claude mcp add --transport http figma https://mcp.figma.com/mcp","Medium","✅ In my stack","Name layers and use variables — garbage structure in, garbage code out.","Figma to code, with your real tokens.",""
"6","Canva MCP","06 · MCP Servers & Connectors","Design","Connector","https://www.canva.dev","","","—","FREEMIUM","Free with Canva account; some features need paid Canva","Official Canva connector: search, create, autofill and export designs.","Generate on-brand social assets from a chat or an automation.","Content creators","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","Add https://mcp.canva.com/mcp as a connector","Low","✅ In my stack","Autofill brand templates for series content.","Canva, controlled by chat.",""
"7","Blender MCP","06 · MCP Servers & Connectors","3D","MCP server","https://github.com/ahujasid/mcp-for-blender","ahujasid/mcp-for-blender","28,873","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT)","Connects Blender to Claude: create and modify scenes, materials and objects with prompts.","3D product shots and scene blocking without deep Blender knowledge.","3D-curious devs, product visuals","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","uvx blender-mcp + Blender add-on","Medium","✅ In my stack","It executes Python in Blender — save before every run.","I prompt Blender now.",""
"8","Higgsfield MCP","06 · MCP Servers & Connectors","Generative media","Connector","https://higgsfield.ai","","","—","PAID","Paid credits / plans","AI image and video generation (multiple models), upscaling, reframing and marketing templates from chat.","B-roll, product shots and ad variants without leaving your workflow.","Creators, marketers","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","Add https://mcp.higgsfield.ai/mcp as a connector","Low","✅ In my stack","Preflight cost before batch jobs.","AI video from a chat window.",""
"9","Claude in Chrome","06 · MCP Servers & Connectors","Browser","Browser agent extension","https://claude.com/chrome","","","—","PAID","Included with paid Claude plans (verify availability)","Claude as a Chrome extension that navigates, clicks and fills forms in your real browser session.","Automates logged-in web chores no API covers.","Ops-heavy founders","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","Install Chrome extension","Low","✅ In my stack","Never let it act on sensitive sites unattended; watch for prompt injection.","Claude, but it uses my browser.",""
"10","Google Workspace connectors (Gmail / Calendar / Drive)","06 · MCP Servers & Connectors","Productivity","Connector","https://support.claude.com","","","—","FREE (closed source)","Included with Claude plans","Read and act on email, calendar and Drive files from Claude.","Inbox triage, meeting prep and doc lookup in one place.","Everyone","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","Enable in Claude connectors","Low","✅ In my stack","Ask for drafts, review, then send yourself.","My inbox has an assistant now.",""
"11","Microsoft 365 connector","06 · MCP Servers & Connectors","Productivity","Connector","https://support.claude.com","","","—","FREE (closed source)","Included with Claude plans; needs M365 account","Outlook, Teams, SharePoint and OneDrive access from Claude.","Useful for enterprise client environments.","Enterprise contractors","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","Enable in Claude connectors","Low","✅ In my stack","Check the client's data policy first.","Claude inside Microsoft 365.",""
"12","Hermes Agent (Nous Research)","09 · Agent Frameworks & LLM Libraries","Agents","Agent","https://github.com/NousResearch/hermes-agent","NousResearch/hermes-agent","246,465","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Nous Research's open agent built around their Hermes models, with tools, memory and messaging integrations.","An open, self-hostable personal/ops agent you fully control.","Self-hosters, open-model fans","Python / TypeScript apps; most support local models","Windows / macOS / Linux","See repo install script","Medium","✅ In my stack","Pin versions; agent frameworks move fast.","An open-source agent you own.",""
"13","n8n","10 · Workflow Automation","Visual automation","Platform","https://github.com/n8n-io/n8n","n8n-io/n8n","204,974","🟢 Active · last commit today","FREE (open source)","Fair-code (Sustainable Use License); free self-host, paid cloud","Workflow automation with 400+ integrations, code nodes and native AI agent nodes.","The best leverage-per-hour tool for client automations; self-host on a cheap VPS.","Automation engineers, agencies","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","docker run -it --rm -p 5678:5678 -v n8n_data:/home/node/.n8n docker.n8n.io/n8nio/n8n","Low","✅ In my stack","License forbids reselling n8n itself as a hosted service — read it for client work.","The tool that pays my bills.",""
"14","n8n workflow templates (official)","10 · Workflow Automation","Templates","Template library","https://n8n.io/workflows","","","—","FREE (closed source)","Free","Thousands of community and official workflow templates.","Start from a working flow instead of a blank canvas.","n8n users","APIs, webhooks, LLMs, MCP","Windows / macOS / Linux","Import into n8n","Low","✅ In my stack","Search before you build — someone has done 80% of it.","Thousands of automations, ready to import.",""
"15","Ollama","11 · Local LLMs & Inference","Runners","Platform","https://github.com/ollama/ollama","ollama/ollama","181,252","🟢 Active · last commit today","FREE (open source)","Open source (MIT); optional paid cloud","One-command local model runner with a model library and OpenAI-compatible API.","The default way to run open models privately — the base of any on-prem AI offer.","Private AI, prototyping","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","winget install Ollama.Ollama  →  ollama run llama3.2","Low","✅ In my stack","Raise the default context length (num_ctx) or RAG answers get silently truncated.","ChatGPT, offline, on your laptop.",""
"16","Nous Research Hermes models","11 · Local LLMs & Inference","Open models","Model family","https://huggingface.co/NousResearch","","","—","FREE (closed source)","Open weights (license varies by base model)","Hermes fine-tunes known for strong instruction following, function calling and low refusal rates.","Steerable open models for agents and private deployments.","Open-model agent builders","OpenAI-compatible clients, n8n, Claude Code routers, Open WebUI","Windows / macOS / Linux","ollama run hermes3","Low","✅ In my stack","Check the base-model license for commercial use.","The open model that does what you ask.",""
"17","Docker","16 · DevOps, Self-Hosting & Deployment","Containers","Platform","https://www.docker.com","","","—","FREEMIUM","Engine is open source; Docker Desktop free for individuals/small business","Containers: package an app with its dependencies and run it anywhere.","The unit of deployment for everything in this list.","Everyone","Docker, any VPS, GitHub","Windows / macOS / Linux","winget install Docker.DockerDesktop","Low","✅ In my stack","On Windows use the WSL2 backend and keep projects inside the WSL filesystem.","It works on my machine — and everywhere else.",""
"18","Cloudflare Developer Platform","16 · DevOps, Self-Hosting & Deployment","Edge & serverless","Platform","https://developers.cloudflare.com","","","—","FREEMIUM","Generous free tier; Workers Paid ~US$5/mo (verify)","Workers, D1 (SQLite), R2 (S3-compatible, no egress fees), KV, Durable Objects, Queues, Workers AI, Tunnel.","A whole backend at the edge with a free tier that covers most MVPs.","Indie products","Docker, any VPS, GitHub","Web","npm create cloudflare@latest","Medium","✅ In my stack","R2's zero egress fees matter for media-heavy apps.","An entire backend for $0.",""
"19","Cloudflare Tunnel","16 · DevOps, Self-Hosting & Deployment","Networking","Service","https://developers.cloudflare.com/cloudflare-one/connections/connect-networks/","","","—","FREE (closed source)","Free","Expose a local or private service to the internet without opening ports.","Show a local app or self-hosted n8n to a client securely.","Local demos, home servers","Docker, any VPS, GitHub","Windows / macOS / Linux","cloudflared tunnel --url http://localhost:3000","Low","✅ In my stack","Add Cloudflare Access for login protection.","Share localhost with a client. Securely.",""
"20","Wrangler","16 · DevOps, Self-Hosting & Deployment","Edge & serverless","CLI tool","https://github.com/cloudflare/workers-sdk","cloudflare/workers-sdk","4,542","🟢 Active · last commit today","FREE (open source)","Open source (MIT/Apache-2.0)","CLI for developing and deploying Cloudflare Workers, D1, R2 and more.","Local dev that mirrors production.","Cloudflare builders","Docker, any VPS, GitHub","Windows / macOS / Linux","npm i -D wrangler","Low","✅ In my stack","wrangler dev --remote for real bindings.","Deploy to 300 cities in one command.",""
"21","Vercel","16 · DevOps, Self-Hosting & Deployment","Hosting","Platform","https://vercel.com","","","—","FREEMIUM","Free Hobby (non-commercial); Pro ~US$20/user/mo (verify)","Frontend cloud for Next.js and friends: previews, edge functions, analytics.","Preview URL per branch is the best client-feedback loop.","Next.js apps","Docker, any VPS, GitHub","Web","npm i -g vercel  →  vercel","Low","✅ In my stack","Hobby plan forbids commercial use; watch bandwidth/function costs.","git push = deployed.",""
"22","VS Code","18 · Dev Productivity & Terminal (Windows-aware)","Editors","Editor","https://github.com/microsoft/vscode","microsoft/vscode","192,634","🟢 Active · last commit today","FREE (open source)","Open source core (MIT); Microsoft build is free","The default editor, with Remote-SSH, WSL and Dev Containers.","Remote-SSH lets you edit on a VPS as if local.","Most developers","Any stack","Windows / macOS / Linux","winget install Microsoft.VisualStudioCode","Low","✅ In my stack","Remote – WSL extension is essential on Windows.","Still the default for a reason.",""
"23","ASP.NET Core","19 · Frontend & UI Building","Backend frameworks","Framework","https://github.com/dotnet/aspnetcore","dotnet/aspnetcore","38,442","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Cross-platform .NET framework for web APIs and apps.","High performance and strong typing for enterprise backends.",".NET developers","React / Next.js / Tailwind; agent-friendly","Windows / macOS / Linux","dotnet new webapi","Medium","✅ In my stack","Minimal APIs keep services small.","Enterprise-grade, open source.",""
"24","Telegram Bot API","19 · Frontend & UI Building","Telegram bots","API","https://core.telegram.org/bots/api","","","—","FREE (closed source)","Free","Official HTTP API for Telegram bots, including Mini Apps and payments.","A free, massive distribution channel in CIS markets.","Bot and Mini App builders","React / Next.js / Tailwind; agent-friendly","Web","Talk to @BotFather","Low","✅ In my stack","Mini Apps turn a bot into a full web app.","Your MVP does not need an app store.",""
"25","Figma","20 · Design Resources & Inspiration","Design tools","Design tool","https://www.figma.com","","","—","FREEMIUM","Free starter; paid seats","The standard collaborative interface design tool, now with Make, Sites and an MCP server.","Where design systems live; bridge to code via MCP.","Designers, frontend devs, founders","Figma, code, AI agents (as references)","Web","Open in browser","Low","✅ In my stack","Use variables + auto layout so agents can read structure.","Still the design tool.",""
"26","Canva","20 · Design Resources & Inspiration","Design tools","Design tool","https://www.canva.com","","","—","FREEMIUM","Free; paid Pro","Template-driven design for social, decks and brand kits.","Fastest route to consistent social content.","Designers, frontend devs, founders","Figma, code, AI agents (as references)","Web","Open in browser","Low","✅ In my stack","Brand Kit + templates = repeatable series.","Design for people who ship content.",""
"27","DaVinci Resolve","21 · Content Creation & AI Creative Tools","Editing","Desktop app","https://www.blackmagicdesign.com/products/davinciresolve","","","—","FREEMIUM","Free version; Studio is a one-time purchase","Professional editing, colour grading, VFX and audio in one app.","Hollywood-grade colour for free.","Serious video creators","Instagram / Reels / YouTube workflows","Windows / macOS / Linux","Download","High","✅ In my stack","Build one PowerGrade for your look and reuse it.","The free editor Hollywood uses.",""
