"#","Name","Category","Sub-category","Type","Link","GitHub repo","GitHub ★","Maintenance","Pricing tier","Price / license","What it is","Why it 10x's you","Best for","Works with","Platform","Install / get started","Setup effort","Status","Pro tip / gotcha","Instagram hook","My notes"
"1","Anthropic Skills (official)","01 · Claude Code Ecosystem","Skills","Skill collection","https://github.com/anthropics/skills","anthropics/skills","176,857","🟢 Active · last commit september 2026","FREE (open source)","Open source (see repo license; document skills are source-available)","Anthropic's official Agent Skills repo: skill-creator, mcp-builder, frontend-design, webapp-testing, docx/pdf/pptx/xlsx and more.","The reference standard for how a skill is structured. skill-creator alone lets you turn any repeated workflow into a reusable skill.","Anyone using Claude Code daily","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/plugin marketplace add anthropics/skills","Low","🚀 Add now","Read SKILL.md files as templates before writing your own; progressive disclosure is the whole trick.","Official Claude skills. Free. Most devs never install them.",""
"2","grill-me (Matt Pocock skills)","01 · Claude Code Ecosystem","Planning skills","Skill","https://github.com/mattpocock/skills","mattpocock/skills","264,284","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","A skill that interrogates you about your plan one question at a time until every branch of the decision tree is resolved.","Kills the #1 failure of AI coding: building before the thinking is done. Perfect pre-step before writing a spec.","Spec-driven devs, founders scoping features","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx -y skills add mattpocock/skills --skill grill-me","Low","🚀 Add now","Run it BEFORE the spec, then paste the Q&A into the spec as the 'decisions' section.","The skill that argues with your plan before you build it.",""
"3","UI/UX Pro Max","01 · Claude Code Ecosystem","Design skills","Skill","https://github.com/nextlevelbuilder/ui-ux-pro-max-skill","nextlevelbuilder/ui-ux-pro-max-skill","128,458","🟢 Active · last commit last tuesday","FREE (open source)","Open source (MIT)","Design-intelligence skill: a searchable database of UI styles, colour palettes, font pairings, chart types and UX guidelines across many stacks.","Gives the agent a design system to reason from, so output stops looking like default purple-gradient AI UI.","Devs without a designer","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/plugin marketplace add nextlevelbuilder/ui-ux-pro-max-skill","Low","🚀 Add now","Pair with real references (Refero / Mobbin) — the skill picks a direction, references give it taste.","Give Claude taste. One install.",""
"4","Superpowers (obra)","01 · Claude Code Ecosystem","Workflow skills","Skill framework","https://github.com/obra/superpowers","obra/superpowers","288,032","🟢 Active · last commit august 2026","FREE (open source)","Open source (MIT)","A skills library enforcing a disciplined loop: brainstorm → write plan → execute plan with TDD, debugging and review skills.","Turns Claude Code from a fast typist into a process-following engineer. Huge for multi-hour autonomous runs.","Spec-driven devs, long autonomous sessions","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/plugin marketplace add obra/superpowers-marketplace  →  /plugin install superpowers@superpowers-marketplace","Medium","🚀 Add now","It is opinionated about TDD. Let it be — that is where the quality comes from.","I gave Claude Code a process. It stopped guessing.",""
"5","awesome-claude-code","01 · Claude Code Ecosystem","Directories","Awesome list","https://github.com/hesreallyhim/awesome-claude-code","hesreallyhim/awesome-claude-code","54,216","🟢 Active · last commit today","FREE (open source)","Open source","The main curated index of Claude Code commands, hooks, skills, workflows, CLAUDE.md files and tooling.","One bookmark replaces hours of searching. Check it before building anything yourself.","Every Claude Code user","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Browse","Low","🚀 Add now","Sort by what you repeat weekly, not by what looks cool.","The Claude Code bookmark you actually need.",""
"6","awesome-claude-code-subagents","01 · Claude Code Ecosystem","Subagents","Subagent collection","https://github.com/VoltAgent/awesome-claude-code-subagents","VoltAgent/awesome-claude-code-subagents","25,151","🟢 Active · last commit last monday","FREE (open source)","Open source (MIT)","100+ ready-made specialised subagents (backend, security, data, DevOps, QA...) as drop-in markdown files.","Copy a specialist into .claude/agents/ and delegate — keeps the main context clean.","Multi-role solo devs","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Copy .md files into .claude/agents/","Low","🚀 Add now","Use 3–5 subagents you trust. Thirty subagents = none of them get picked well.","Hire 100 specialists. Pay nothing.",""
"7","claude-code-templates","01 · Claude Code Ecosystem","Config packs","CLI + templates","https://github.com/davila7/claude-code-templates","davila7/claude-code-templates","30,771","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","CLI that installs agents, commands, MCPs, hooks and settings into a project interactively, plus an analytics dashboard.","Bootstrap a new repo's .claude folder in one command.","People starting many projects","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx claude-code-templates@latest","Low","🚀 Add now","Great for your 'new product' checklist — same harness in every repo.","One command. Full Claude Code setup.",""
"8","claude-code-hooks-mastery","01 · Claude Code Ecosystem","Hooks","Reference repo","https://github.com/disler/claude-code-hooks-mastery","disler/claude-code-hooks-mastery","3,923","🟡 Slower · last commit february 2026","FREE (open source)","Open source","Worked examples of every Claude Code hook event (PreToolUse, PostToolUse, Stop, etc.).","Hooks are deterministic guardrails: block rm -rf, auto-format, run tests, notify on finish.","Devs who run long sessions","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Clone and copy hooks","Medium","🚀 Add now","A Stop hook that runs lint + tests is the cheapest quality gate you can add.","Hooks: the guardrails nobody sets up.",""
"9","ccusage","01 · Claude Code Ecosystem","Usage & cost","CLI tool","https://github.com/ccusage/ccusage","ccusage/ccusage","18,600","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Analyses local Claude Code logs to show token usage and cost per day / session / model.","You cannot optimise what you do not measure — see which projects burn your limits.","Subscription & API users","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx ccusage@latest","Low","🚀 Add now","Run `ccusage blocks --live` in a side pane during long runs.","Where do your Claude tokens actually go?",""
"10","Claude Agent SDK (Python)","01 · Claude Code Ecosystem","SDK","SDK","https://github.com/anthropics/claude-agent-sdk-python","anthropics/claude-agent-sdk-python","8,121","🟢 Active · last commit today","FREE (open source)","Open source (MIT) + API usage","The harness behind Claude Code as a library: tools, MCP, hooks, subagents, permissions.","Ship your own agent products for clients without rebuilding the agent loop.","AI product builders","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","pip install claude-agent-sdk","Medium","🚀 Add now","Start by wrapping an existing skill + MCP set as a headless agent.","Build your own Claude Code.",""
"11","Claude Code GitHub Action","01 · Claude Code Ecosystem","CI","GitHub Action","https://github.com/anthropics/claude-code-action","anthropics/claude-code-action","8,896","🟢 Active · last commit today","FREE (open source)","Open source + API/subscription usage · GitHub license: MIT","Run Claude Code in GitHub Actions: @claude in issues/PRs to implement, review or fix.","Async work: open an issue from your phone, get a PR back.","Solo devs with many repos","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","/install-github-app inside Claude Code","Medium","🚀 Add now","Restrict allowed tools in the workflow file.","@claude, fix this. From your phone.",""
"12","Refero design skill","01 · Claude Code Ecosystem","Design skills","Skill","https://github.com/referodesign/refero_skill","referodesign/refero_skill","267","🟢 Active · last commit september 2026","FREE (open source)","Open source; Refero account needed for MCP · GitHub license: MIT","Research-first design skill that pulls real product screens/flows from Refero before designing.","UI grounded in shipped products instead of model guesswork.","Frontend devs who care about taste","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx skills add referodesign/refero_skill","Low","🚀 Add now","Ask it to cite the references it used.","Design from real apps, not vibes.",""
"13","Vercel agent-skills","01 · Claude Code Ecosystem","Skills","Skill collection","https://github.com/vercel-labs/agent-skills","vercel-labs/agent-skills","31,280","🟢 Active · last commit august 2026","FREE (open source)","Open source","Vercel's skills: React/Next.js best practices, web design guidelines, deploy helpers.","A quality pass that encodes Vercel's own performance and a11y rules.","Next.js / Vercel users","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx skills add vercel-labs/agent-skills","Low","🚀 Add now","Run the web-design-guidelines skill as a review step before shipping UI.","Vercel's frontend rules, as a skill.",""
"14","skills CLI (npx skills)","01 · Claude Code Ecosystem","Skills","CLI tool","https://github.com/vercel-labs/skills","vercel-labs/skills","31,874","🟢 Active · last commit today","FREE (open source)","Open source · GitHub license: MIT","Package-manager style CLI to add agent skills from any GitHub repo to Claude Code, Cursor, Codex and others.","One install command across every agent you use.","Multi-agent users","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","npx skills add <owner>/<repo>","Low","🚀 Add now","Commit installed skills to the repo so collaborators get them too.","npm install, but for agent skills.",""
"15","Claude Code best practices (official docs)","01 · Claude Code Ecosystem","Guides","Guide","https://code.claude.com/docs/en/best-practices","","","—","FREE (closed source)","Free","Anthropic's own playbook: CLAUDE.md, explore-plan-code-commit, TDD loop, multi-Claude workflows.","The 20 minutes of reading that change how you use the tool.","Everyone","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Read","Low","🚀 Add now","Explore → plan → code → commit is spec-driven development in miniature.","Read this before your next prompt.",""
"16","Anthropic: Agent Skills explained","01 · Claude Code Ecosystem","Guides","Guide","https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills","","","—","FREE (closed source)","Free","Engineering post explaining how skills work: progressive disclosure, SKILL.md, bundled scripts.","Understand the mechanism and you can write skills that actually trigger.","Skill authors","Claude Code (many also work in Cursor, Codex, Gemini CLI)","Windows / macOS / Linux","Read","Low","🚀 Add now","The description field decides whether your skill ever fires.","How skills really work.",""
"17","GitHub Spec Kit","02 · Spec-Driven Development & Planning","SDD frameworks","Framework + CLI","https://github.com/github/spec-kit","github/spec-kit","137,572","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","GitHub's spec-driven toolkit: constitution → specify → plan → tasks → implement, as slash commands.","A shared structure for spec docs, so the agent always knows which phase it is in.","Greenfield products","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","uvx --from git+https://github.com/github/spec-kit.git specify init <project>","Medium","🚀 Add now","Write the constitution once per company, not per repo.","Stop vibe coding. Start spec coding.",""
"18","OpenSpec","02 · Spec-Driven Development & Planning","SDD frameworks","Framework + CLI","https://github.com/Fission-AI/OpenSpec","Fission-AI/OpenSpec","68,863","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Lightweight spec framework built around change proposals and spec deltas.","Best fit for existing codebases: each change gets a proposal, tasks and a spec diff.","Brownfield projects","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","npm install -g @fission-ai/openspec@latest  →  openspec init","Low","🚀 Add now","Archive completed changes so specs stay the living truth.","Specs for code that already exists.",""
"19","Task Master","02 · Spec-Driven Development & Planning","Task planning","CLI + MCP","https://github.com/eyaltoledano/claude-task-master","eyaltoledano/claude-task-master","28,081","🟡 Slower · last commit april 2026","FREE (open source)","Open source (MIT + Commons Clause)","Parses a PRD into a dependency-ordered task graph that agents work through.","Bridges spec → execution: the agent always knows the next unblocked task.","PRD-first builders","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","npm install -g task-master-ai","Medium","🚀 Add now","Feed it your spec doc as the PRD; regenerate tasks when the spec changes.","PRD in. Task graph out.",""
"20","12-Factor Agents","02 · Spec-Driven Development & Planning","Principles","Guide","https://github.com/humanlayer/12-factor-agents","humanlayer/12-factor-agents","26,122","🟠 Quiet · last commit september 2025","FREE (open source)","Open source","Twelve principles for building LLM apps reliable enough for production.","Own your prompts, own your context window, small focused agents — cures most agent-framework pain.","Agent builders","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","Read","Low","🚀 Add now","Factor 3 (own your context window) is the one to internalise.","12 rules for agents that do not break.",""
"21","Anthropic: Effective context engineering","02 · Spec-Driven Development & Planning","Context engineering","Guide","https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents","","","—","FREE (closed source)","Free","Anthropic's essay on curating what goes into the context window: compaction, notes, sub-agents, just-in-time retrieval.","The theory behind why spec docs + small contexts beat giant prompts.","Everyone building with agents","Claude Code, Cursor, Codex, Gemini CLI, Copilot","Windows / macOS / Linux","Read","Low","🚀 Add now","Context is a finite budget — treat every token as a cost.","Context is a budget. Spend it well.",""
"22","vibe-kanban","03 · Parallel Agents & Orchestration","Parallel agents","Desktop/web app","https://github.com/BloopAI/vibe-kanban","BloopAI/vibe-kanban","28,112","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Kanban board that runs coding agents on tasks in isolated git worktrees with review and merge.","Run several products or features in parallel and review diffs like a tech lead. Works on Windows.","Solo devs juggling many products","Claude Code, Codex, Gemini CLI, OpenCode, Amp","Windows / macOS / Linux","npx vibe-kanban","Low","🚀 Add now","One task = one worktree = one small PR. Keep tasks spec-sized.","I run 4 AI devs at once. Here is the board.",""
"23","Gemini CLI","04 · AI Coding Agents & IDEs","Terminal agents","CLI coding agent","https://github.com/google-gemini/gemini-cli","google-gemini/gemini-cli","107,034","🟢 Active · last commit last tuesday","FREE (open source)","Open source (Apache-2.0); generous free tier with a Google account","Google's open-source terminal agent with a very large context window.","Free tier + huge context = ideal for whole-repo questions and bulk analysis.","Budget-conscious devs","Standalone","Windows / macOS / Linux","npm i -g @google/gemini-cli","Low","🚀 Add now","Use it as the 'reader' (big context) and Claude Code as the 'writer'.","A free coding agent with a giant context window.",""
"24","OpenCode","04 · AI Coding Agents & IDEs","Terminal agents","CLI coding agent","https://github.com/anomalyco/opencode","anomalyco/opencode","208,123","🟢 Active · last commit today","FREE (open source)","Open source (MIT); bring your own key","Provider-agnostic open-source terminal agent with a polished TUI; works with 75+ providers including local models.","Keeps you independent of any single vendor; pairs with Ollama for private work.","Local-LLM and multi-provider users","Standalone","Windows / macOS / Linux","npm i -g opencode-ai","Low","🚀 Add now","Best open-source option for NDA/private codebases with local models.","The open-source Claude Code.",""
"25","GitHub Copilot","04 · AI Coding Agents & IDEs","AI IDEs","IDE assistant + coding agent","https://github.com/features/copilot","","","—","FREEMIUM","Free tier; Pro ~US$10/mo (verify); free for students","Autocomplete, chat, agent mode and an async coding agent that opens PRs from issues.","Cheapest reliable autocomplete; students get it free via the Student Developer Pack.","Students, VS Code users","Standalone","Windows / macOS / Linux","Enable in VS Code / GitHub","Low","🚀 Add now","If you are a student: claim the GitHub Student Developer Pack first.","Students: you get this free.",""
"26","v0 by Vercel","04 · AI Coding Agents & IDEs","App builders","AI app builder","https://v0.app","","","—","FREEMIUM","Free credits; paid plans","Prompt-to-UI/app generator producing Next.js + shadcn/ui code, deployable to Vercel.","Fastest way from idea to a good-looking, real-code prototype.","Founders validating UI","Standalone","Windows / macOS / Linux","Open in browser","Low","🚀 Add now","Generate in v0, then pull the code into your repo and continue with Claude Code.","Landing page in 5 minutes. Real code.",""
"27","awesome-mcp-servers","05 · Awesome Lists, Prompts & System Prompts","MCP directories","Awesome list","https://github.com/punkpeye/awesome-mcp-servers","punkpeye/awesome-mcp-servers","95,149","🟢 Active · last commit last tuesday","FREE (open source)","Open source · GitHub license: MIT","The definitive categorised directory of MCP servers.","Find a server for almost any tool before writing an integration.","MCP users","Claude, GPT, Gemini, any LLM","Windows / macOS / Linux","Browse","Low","🚀 Add now","Prefer official vendor servers over random forks.","There is an MCP for that.",""
"28","awesome-llm-apps","05 · Awesome Lists, Prompts & System Prompts","LLM app examples","Awesome list + code","https://github.com/Shubhamsaboo/awesome-llm-apps","Shubhamsaboo/awesome-llm-apps","138,652","🟢 Active · last commit yesterday","FREE (open source)","Open source (Apache-2.0)","Huge collection of runnable LLM apps: RAG, agents, multi-agent teams, voice, MCP.","Working reference code for almost any client request.","AI freelancers","Claude, GPT, Gemini, any LLM","Windows / macOS / Linux","Clone & run examples","Low","🚀 Add now","Treat as starting points; harden before client delivery.","100+ AI apps you can clone today.",""
"29","System prompts of AI tools","05 · Awesome Lists, Prompts & System Prompts","System prompts","Reference repo","https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools","x1xhlol/system-prompts-and-models-of-ai-tools","143,692","🟢 Active · last commit august 2026","FREE (open source)","Open source (GPL-3.0)","Collected system prompts and tool definitions from Cursor, v0, Devin, Windsurf, Lovable and more.","Learn how production agents are actually prompted.","Agent builders","Claude, GPT, Gemini, any LLM","Windows / macOS / Linux","Read","Low","🚀 Add now","Study the tool descriptions — that is where most of the craft is.","How Cursor and v0 are really prompted.",""
"30","Anthropic prompt engineering docs","05 · Awesome Lists, Prompts & System Prompts","Prompts","Guide","https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/overview","","","—","FREE (closed source)","Free","Official Claude prompting guide: clarity, examples, XML tags, chain of thought, prefill.","The highest-ROI read for Claude users.","Claude users","Claude, GPT, Gemini, any LLM","Windows / macOS / Linux","Read","Low","🚀 Add now","XML tags + examples beat clever wording.","Anthropic tells you how to prompt Claude.",""
"31","Context7","06 · MCP Servers & Connectors","Docs & knowledge","MCP server","https://github.com/upstash/context7","upstash/context7","62,120","🟢 Active · last commit today","FREE (open source)","Open source (MIT); free tier, optional API key for higher limits","Injects up-to-date, version-specific library docs and code examples into the prompt.","Ends hallucinated APIs and outdated syntax — the single most recommended MCP.","Everyone writing code with agents","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","claude mcp add context7 -- npx -y @upstash/context7-mcp","Low","🚀 Add now","Add 'use context7' to CLAUDE.md so it triggers automatically.","The MCP that stops AI inventing APIs.",""
"32","Serena","06 · MCP Servers & Connectors","Code intelligence","MCP server","https://github.com/oraios/serena","oraios/serena","29,530","🟢 Active · last commit today","FREE (open source)","Open source (MIT)","Semantic code retrieval and editing via language servers: find symbols, references, edit by symbol.","The agent navigates like an IDE instead of grepping — big token savings on large repos.","Large codebases","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","claude mcp add serena -- uvx --from git+https://github.com/oraios/serena serena start-mcp-server --context ide-assistant --project $(pwd)","Medium","🚀 Add now","Run onboarding once per project so it indexes the codebase.","Give your agent an IDE brain.",""
"33","Playwright MCP","06 · MCP Servers & Connectors","Browser","MCP server","https://github.com/microsoft/playwright-mcp","microsoft/playwright-mcp","37,205","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Microsoft's browser automation server using the accessibility tree rather than screenshots.","The agent opens the app it just built, clicks through and verifies its own work.","Frontend + full-stack devs","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","claude mcp add playwright npx @playwright/mcp@latest","Low","🚀 Add now","Ask for a screenshot + console check after every UI change.","AI that tests its own UI.",""
"34","Chrome DevTools MCP","06 · MCP Servers & Connectors","Browser","MCP server","https://github.com/ChromeDevTools/chrome-devtools-mcp","ChromeDevTools/chrome-devtools-mcp","52,192","🟢 Active · last commit today","FREE (open source)","Open source (Apache-2.0)","Official Chrome DevTools server: performance traces, network, console, DOM inspection.","Real debugging — the agent reads the console error and the failed request itself.","Web performance & debugging","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","claude mcp add chrome-devtools npx chrome-devtools-mcp@latest","Low","🚀 Add now","Use for Core Web Vitals traces before launch.","Your agent can finally open DevTools.",""
"35","GitHub MCP Server","06 · MCP Servers & Connectors","Dev platforms","MCP server","https://github.com/github/github-mcp-server","github/github-mcp-server","33,001","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT)","GitHub's official server: repos, issues, PRs, Actions, code search, security alerts.","Issue → branch → PR → review without leaving the agent.","Anyone on GitHub","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","claude mcp add --transport http github https://api.githubcopilot.com/mcp/","Low","🚀 Add now","Enable only the toolsets you need; the full set is large.","Issue to PR, hands-free.",""
"36","n8n-skills","06 · MCP Servers & Connectors","Automation","Skill collection","https://github.com/czlonkowski/n8n-skills","czlonkowski/n8n-skills","6,245","🟢 Active · last commit yesterday","FREE (open source)","Open source (MIT)","Claude Code skills that teach correct n8n expression syntax, node config and workflow patterns.","Companion to n8n-MCP: fewer broken expressions and invalid nodes.","n8n builders","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","See repo (plugin marketplace install)","Low","🚀 Add now","Install together with n8n-MCP.","Teach Claude to speak n8n.",""
"37","Cloudflare MCP servers","06 · MCP Servers & Connectors","Deploy","MCP servers","https://github.com/cloudflare/mcp-server-cloudflare","cloudflare/mcp-server-cloudflare","4,205","🟢 Active · last commit august 2026","FREE (open source)","Open source (Apache-2.0)","Cloudflare's remote servers: docs, Workers bindings (D1/R2/KV), builds, observability, browser rendering and more.","Manage D1, R2 and Workers from the agent; docs server kills outdated Workers syntax.","Cloudflare builders","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","See repo for server URLs","Medium","🚀 Add now","Start with the docs + bindings servers.","Claude, create me a D1 database.",""
"38","Firecrawl MCP","06 · MCP Servers & Connectors","Web data","MCP server","https://github.com/firecrawl/firecrawl-mcp-server","firecrawl/firecrawl-mcp-server","7,477","🟢 Active · last commit today","FREE (open source)","Open source server; Firecrawl API is freemium · GitHub license: MIT","Scrape, crawl, search and extract structured data from the web as clean Markdown.","Research and data collection straight into the agent.","Scrapers, researchers","Any MCP client (Claude Code, Claude Desktop, Cursor, Codex, Gemini CLI, n8n)","Windows / macOS / Linux","claude mcp add firecrawl -e FIRECRAWL_API_KEY=<key> -- npx -y firecrawl-mcp","Low","🚀 Add now","Self-host Firecrawl to avoid per-page fees on big crawls.","Any website to Markdown.",""
