"Rank","Name","Why it is a top pick","Category","Pricing tier","GitHub ★","Link","Install / get started","Instagram hook"
"1","Anthropic Skills (official)","The reference implementation of skills. skill-creator turns anything you repeat into a reusable capability.","01 · Claude Code Ecosystem","FREE (open source)","176,857","https://github.com/anthropics/skills","/plugin marketplace add anthropics/skills","Official Claude skills. Free. Most devs never install them."
"2","grill-me (Matt Pocock skills)","Forces the thinking to finish before the building starts. The cheapest quality upgrade in this sheet.","01 · Claude Code Ecosystem","FREE (open source)","264,284","https://github.com/mattpocock/skills","npx -y skills add mattpocock/skills --skill grill-me","The skill that argues with your plan before you build it."
"3","Superpowers (obra)","Gives the agent a process: brainstorm → plan → execute with TDD and review.","01 · Claude Code Ecosystem","FREE (open source)","288,032","https://github.com/obra/superpowers","/plugin marketplace add obra/superpowers-marketplace  →  /plugin install superpowers@superpowers-marketplace","I gave Claude Code a process. It stopped guessing."
"4","GitHub Spec Kit","A shared structure for specs so the agent always knows which phase it is in.","02 · Spec-Driven Development & Planning","FREE (open source)","137,572","https://github.com/github/spec-kit","uvx --from git+https://github.com/github/spec-kit.git specify init <project>","Stop vibe coding. Start spec coding."
"5","Context7","Version-correct docs in every prompt. Ends hallucinated APIs.","06 · MCP Servers & Connectors","FREE (open source)","62,120","https://github.com/upstash/context7","claude mcp add context7 -- npx -y @upstash/context7-mcp","The MCP that stops AI inventing APIs."
"6","Serena","Symbol-level code navigation: fewer tokens, better edits on large repos.","06 · MCP Servers & Connectors","FREE (open source)","29,530","https://github.com/oraios/serena","claude mcp add serena -- uvx --from git+https://github.com/oraios/serena serena start-mcp-server --context ide-assistant --project $(pwd)","Give your agent an IDE brain."
"7","Playwright MCP","The agent opens what it built and checks it. Self-verifying UI.","06 · MCP Servers & Connectors","FREE (open source)","37,205","https://github.com/microsoft/playwright-mcp","claude mcp add playwright npx @playwright/mcp@latest","AI that tests its own UI."
"8","agent-browser (Vercel Labs)","Browser automation as a CLI — tiny token cost, works with any agent.","08 · Browser Automation & Computer Use","FREE (open source)","42,814","https://github.com/vercel-labs/agent-browser","npm install -g agent-browser  →  agent-browser install","A browser built for AI, not humans."
"9","UI/UX Pro Max","A design database the agent reasons from, instead of default AI aesthetics.","01 · Claude Code Ecosystem","FREE (open source)","128,458","https://github.com/nextlevelbuilder/ui-ux-pro-max-skill","/plugin marketplace add nextlevelbuilder/ui-ux-pro-max-skill","Give Claude taste. One install."
"10","Refero Styles","Real product design systems as DESIGN.md — taste you can paste.","20 · Design Resources & Inspiration","FREEMIUM","","https://styles.refero.design","Open in browser","Give your AI a real design system."
