"Phase","Step","Resources (all in this sheet)","Why — for a spec-driven Claude Code + n8n + local LLM + VPS workflow","Effort","Done?"
"1 · This week — foundation","Make Windows agent-ready","WSL2 · Windows Terminal · Scoop · ripgrep + fd + fzf + bat + eza + zoxide · uv · Bun · GitHub CLI · lazygit","Most skills, MCP servers and orchestration tools assume a Unix shell. Repos inside WSL are also much faster for agents to scan.","1–2 h",""
"1 · This week — foundation","Install the thinking layer","Anthropic Skills (official) · grill-me (Matt Pocock skills) · Superpowers (obra) · skills CLI (npx skills)","You already work from spec documents. These formalise the step before the spec (interrogation) and the step after it (plan → execute → review).","30 min",""
"1 · This week — foundation","Install the essential MCP set","Context7 · Serena · Playwright MCP · GitHub MCP Server · n8n-MCP · n8n-skills","Correct docs, semantic code navigation, self-verification, PR flow and n8n fluency. Keep it to ~5 per project — tool choice degrades beyond that.","45 min",""
"1 · This week — foundation","See your spend and context","ccusage · ccstatusline","Running many products on one subscription: know which repo burns limits and when to /clear.","10 min",""
"1 · This week — foundation","Add a safety net for AI-written code","gitleaks · pre-commit · Semgrep · Claude Code Security Review · claude-code-hooks-mastery","Agents commit secrets and subtle injection bugs. Hooks make the checks deterministic instead of hoped-for.","1 h",""
"2 · This month — leverage","Pick one spec framework per project type","GitHub Spec Kit (greenfield) · OpenSpec (existing code) · Task Master","Same structure in every repo means any agent — or collaborator — can pick up where you left off.","Half a day",""
"2 · This month — leverage","Run products in parallel","vibe-kanban · Claude Code GitHub Action","Several products and one person: isolated worktrees let agents work concurrently while you only review diffs.","1 h",""
"2 · This month — leverage","Turn the VPS into a platform","Coolify or Dokploy · Hetzner Cloud · Caddy · Uptime Kuma · restic · Tailscale","Replaces hand-rolled Docker deploys. Git-push deploys, SSL, backups and monitoring for every client app.","Half a day",""
"2 · This month — leverage","Package private AI as a product","Ollama · Open WebUI · LiteLLM · n8n Self-hosted AI Starter Kit · Qdrant · Langfuse","A repeatable on-prem bundle: chat UI + gateway with per-client keys + automation + vector DB + observability.","1–2 days",""
"2 · This month — leverage","Ground UI in real design","Refero Styles · Refero design skill · UI/UX Pro Max · shadcn MCP · tweakcn · 21st.dev Magic MCP · Vercel Web Interface Guidelines","High taste bar, no designer: references + a design system + correct components + a review checklist.","2 h",""
"2 · This month — leverage","Evals before shipping agents","promptfoo · Langfuse · Hamel Husain: evals writing","Client agents need regression tests. Ten real cases in CI beat any amount of manual checking.","Half a day",""
"3 · This quarter — moat","Data backbone for scraping-heavy products","Crawl4AI · Firecrawl · Scrapling · Scrapy · DuckDB · pgvector · Meilisearch","Listings-style platforms live on fresh, clean data: resilient crawlers, fast local analytics, hybrid search.","1–2 weeks",""
"3 · This quarter — moat","Document AI pipeline","Docling · MarkItDown (Microsoft) · Instructor · Pydantic AI · RAGFlow","Contracts and reports → structured, validated JSON — locally, so confidential documents never leave the server.","1 week",""
"3 · This quarter — moat","Fine-tuning service pipeline","Unsloth · Axolotl · synthetic-data-kit (Meta) · lm-evaluation-harness · RunPod · Modal · vLLM","Data → LoRA → eval vs base → serve. Rule: if a prompted frontier model wins the eval, do not fine-tune.","2 weeks",""
"3 · This quarter — moat","Edge-native product stack","Cloudflare Agents SDK · Hono · Drizzle ORM · Better Auth · Cloudflare MCP servers · Mem0","For products already on Cloudflare: stateful agents on Durable Objects, typed D1 access, owned auth, memory.","1–2 weeks",""
"3 · This quarter — moat","Content engine","Playwright screenshots (HTML → PNG) · Satori · Remotion · auto-editor · Cap · FFmpeg","Typographic carousels and reels rendered from text files — one template, unlimited posts.","1 week",""
"3 · This quarter — moat","Wearables / smart-glasses R&D","MentraOS · Omi · faster-whisper · whisper.cpp · Silero VAD · Kokoro TTS · Piper · MediaPipe","Study two complete open stacks before designing your own: audio capture → VAD → STT → LLM → TTS, on-device where possible.","Ongoing",""
"Change triggers","Token spend spikes","Serena · ccusage","Prune MCP servers to ≤5, move navigation to Serena, /clear between tasks.","—",""
"Change triggers","UI looks generic","Refero Styles · shadcn MCP · tweakcn","Add real references and a customised theme before touching prompts.","—",""
"Change triggers","One agent is too slow","vibe-kanban","Split the spec into independent tasks and run worktrees in parallel.","—",""
"Change triggers","Fine-tune loses to a prompted model","OpenRouter · LiteLLM","Stop tuning. Route to the better model and spend the time on evals and data.","—",""
